transaction_id,user_id,transaction_type,amount,day
1,user_103,TRANSFER,3632.07,15
2,user_436,PAYMENT,31.37,27
3,user_349,CASH_OUT,2076.71,17
4,user_271,PAYMENT,1141.16,23
5,user_107,CASH_OUT,448.2,8
6,user_72,TRANSFER,227.6,28
7,user_189,DEBIT,1160.09,25
8,user_21,CASH_OUT,263.19,29
9,user_103,TRANSFER,1332.8,19
10,user_122,TRANSFER,1962.82,9
11,user_467,CASH_OUT,3513.37,10
12,user_215,DEBIT,2270.45,5
13,user_331,TRANSFER,134.84,10
14,user_459,CASH_OUT,734.7,22
15,user_88,DEBIT,679.29,1
16,user_373,DEBIT,4930.97,25
17,user_100,TRANSFER,4046.61,25
18,user_360,PAYMENT,924.54,22
19,user_152,PAYMENT,147.63,24
20,user_131,TRANSFER,4490.66,4
21,user_150,DEBIT,4381.91,21
22,user_309,TRANSFER,3858.54,5
23,user_258,CASH_OUT,3729.71,23
24,user_344,PAYMENT,1308.83,7
25,user_492,CASH_OUT,390.65,23
26,user_414,TRANSFER,1298.21,5
27,user_294,TRANSFER,1364.8,20
28,user_386,DEBIT,1346.42,8
29,user_192,DEBIT,1547.73,17
30,user_444,DEBIT,595.89,1
31,user_277,CASH_OUT,912.17,22
32,user_161,DEBIT,1138.98,18
33,user_460,TRANSFER,281.1,12
34,user_314,DEBIT,1215.28,3
35,user_22,PAYMENT,3326.41,20
36,user_253,DEBIT,3521.21,14
37,user_236,CASH_OUT,1060.57,16
38,user_345,PAYMENT,1462.98,18
39,user_49,PAYMENT,68.46,10
40,user_475,PAYMENT,2244.37,23
41,user_59,CASH_OUT,1037.06,15
42,user_170,TRANSFER,1179.3,10
43,user_476,DEBIT,4137.76,1
44,user_188,PAYMENT,1239.18,19
45,user_464,PAYMENT,42.84,2
46,user_271,PAYMENT,516.22,13
47,user_190,TRANSFER,1291.08,25
48,user_446,TRANSFER,1104.67,16
49,user_175,CASH_OUT,3937.52,8
50,user_446,TRANSFER,1562.37,3
51,user_51,DEBIT,2340.02,21
52,user_364,CASH_OUT,1267.2,19
53,user_55,CASH_OUT,1158.41,14
54,user_244,DEBIT,1182.22,11
55,user_320,DEBIT,1058.39,29
56,user_131,DEBIT,1546.91,12
